id;nombre;urt;colider;texture_a;texture_bc;texture_n;texture_r;shadow;acutalizado;fecha
1;deposit Mexican Peso Mexican Unidad de Inversion (UDI) cross-platform;Burundi;Personal Loan Account budgetary management client-server;Cotton Checking Account Wooden;real-time Handcrafted Soft Bike Computer;fuchsia back-end;human-resource;Yemeni Rial;true;2020-04-26
2;Bond Markets Units European Composite Unit (EURCO);Games;Lead Global Kazakhstan;methodologies;proactive;Incredible Pizza;Fantastic Concrete Chair;Buckinghamshire Pakistan Rupee;true;2020-04-26
3;Lodge deposit Buckinghamshire;logistical Saint Helena Pound;Locks fresh-thinking;Small Wooden Computer application;Branding;optical New Hampshire Integrated;back-end Computers Bulgarian Lev;copy bluetooth;false;2020-04-26
4;Fresh Alabama withdrawal;web-readiness alarm;Industrial best-of-breed Garden;Bahamas Metal withdrawal;green;Money Market Account parsing Union;Tools Regional Virginia;parsing Practical Rubber Chips De-engineered;false;2020-04-26
5;Jordanian Dinar invoice Producer;GB Minnesota;Nauru;Knolls;panel quantifying quantifying;Walk Uzbekistan Sum;Organized;infrastructures;true;2020-04-26
6;ROI;Concrete Configuration;groupware Awesome Fresh Mouse Sports;supply-chains hacking;Berkshire;e-business supply-chains navigate;New Mexico;Toys;true;2020-04-25
7;Outdoors;Intelligent;Sleek Fantastic Metal Shirt Clothing;Marketing;1080p Tugrik invoice;Savings Account Home Loan Account;Denar Incredible Frozen Chair;deposit Tasty;false;2020-04-26
8;Summit infomediaries;Road Investment Account withdrawal;actuating Czech Koruna Multi-lateral;Berkshire payment;Gorgeous;model;Grocery Eritrea User-centric;payment;false;2020-04-26
9;bricks-and-clicks Personal Loan Account;generate Tasty Metal Gloves Borders;Public-key;Credit Card Account indexing Berkshire;magenta holistic;Personal Loan Account Awesome Computers;Mauritius;help-desk Refined Soft Chicken Wells;false;2020-04-26
10;Granite;parse Practical;XSS;Awesome;scalable dynamic magenta;scalable hacking;Mouse;deposit withdrawal RAM;true;2020-04-26
